z_best,z_ml,z_qso,survey,xray_objid,old_sdss_dr8objid,new_sdss_dr8objid,RA,DEC,z_spec,eBV,class,SOFT_FLUX,hard_flux,full_flux,SDSS_REJ,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,probPSF,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sdss_u_mag,sdss_u_err,sdss_g_mag,sdss_g_err,sdss_r_mag,sdss_r_err,sdss_i_mag,sdss_i_err,sdss_z_mag,sdss_z_err,galex_objid,galex_nuv_mag,galex_nuv_err,galex_fuv_mag,galex_fuv_err,ukidss_objid,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err,wise_sigra,wise_sigdec,wise_cntr,wise_w1_mag,wise_w1_err,wise_w2_mag,wise_w2_err,wise_w3_mag,wise_w3_err,wise_w4_mag,wise_w4_err,wise_w1_snr,wise_w1_cov,wise_w2_snr,wise_w2_cov,wise_w3_snr,wise_w3_cov,wise_w4_snr,wise_w4_cov
0,-99,1.78,XMM,93030201,1237663457778729555,1237666648942182924,322.3738,0.01726083,0.127699,0.034996,GALAXY,0,2.833502E-14,1.143739E-14,no,2.970217,7.863467,6.920032,6.418558,5.75845,10.7897,7.310905,7.13083,6.043772,4.780003,False,0.2061787,0.1517043,0.1100286,0.08343138,0.05915389,20.00989,0.1063661,18.42992,0.01067001,17.53986,0.009046319,17.06634,0.009252214,16.68925,0.02627275,2863060246512807425,20.7573,0.04069652,21.36803,0.08350006,433871280990,20.98399,0.452743,20.12531,0.223551,19.83537,0.255617,-99,-99,0.15,0.15,3221100001241018499,17.5422,0.035,18.1964,0.1,17.591,0.213,15.498,9999,34.2,15.259,19.6,15.289,6.5,13.915,1.7,13.729
0,-99,1.8,XMM,400570301,1237663784742944969,1237676326036897863,19.76589,0.4398152,0.075847,0.035802,GALAXY,7.376768E-15,0,1.668162E-14,no,9.420112,5.034606,5.363115,5.290163,5.09322,9.231839,5.492257,6.156909,6.223199,5.957824,False,0.1678896,0.1235316,0.08959538,0.06793747,0.04816851,19.33418,0.143749,17.9588,0.0201178,16.96124,0.009247667,16.46521,0.007927218,16.15637,0.01442001,2913092423623118471,20.52509,0.07038235,21.78692,0.0990741,433829082383,-99,-99,-99,-99,20.22233,0.323105,19.32759,0.225304,0.121,0.1229,196100001241025392,16.85686,0.018,17.41821,0.03,17.655,0.336,15.905,9999,38.8,17.805,26.7,17.725,8.5,17.915,2.8,18.222
0,-99,2.34,CSC,2101,1237663716017766538,1237667173466439846,7.858546,0.4735441,0.148662,0.096473,GALAXY,2.934115E-14,0,7.429802E-14,no,68.30271,6.092633,6.255696,6.171338,5.529737,9.204013,6.677666,7.453742,7.745217,8.108634,False,0.1237511,0.09105491,0.06604061,0.0500766,0.03550493,20.28853,0.1037947,18.59971,0.01344809,17.46987,0.008270585,16.98737,0.008805394,16.54147,0.0182609,2915168301574267556,21.58505,0.05981028,-99,-99,433828825986,19.01371,0.0947,19.33518,0.190547,19.72696,0.416745,20.35147,0.533614,0.134,0.1308,75100001241028833,17.25432,0.022,17.57484,0.05,17.761,9999,15.604,9999,35.9,12.949,28,12.73,3.5,12.782,0.4,13.194
0,0.005,1.78,XMM,673000101,1237663543684497665,1237666077714546875,333.7346,0.3328268,0.585207,0.045026,GALAXY,1.804918E-14,0,4.685284E-14,no,1.579126,1.30713,1.007279,1.173684,1.309379,1.496685,1.346977,1.209954,1.324394,1.39995,True,0.3163615,0.2327758,0.1688284,0.1280175,0.09076599,19.5356,0.03138089,19.11094,0.01113602,18.75581,0.009995339,18.4348,0.009816848,18.20108,0.02302315,2470684128978146375,20.787,0.03401187,21.48963,0.07807972,433829157534,19.8955,0.214576,19.68274,0.135071,19.41709,0.183469,19.2573,0.248154,0.126,0.1255,3342100001241022597,17.43305,0.029,17.56182,0.053,17.807,0.335,15.655,9999,36.9,12.848,28.9,12.782,8.9,11.854,2.4,11.766
0,0.005,3.36,XMM,93030201,1237663457778860567,1237666648942313886,322.6197,0.01917455,0.134415,0.046383,GALAXY,5.488421E-15,0,0,no,8.431272,8.484108,8.930259,8.667508,6.463924,9.488297,11.25846,11.08111,10.94133,8.571399,False,0.2117841,0.1558288,0.11302,0.08569965,0.06076212,19.4157,0.07030679,17.4221,0.005958701,16.23949,0.004228055,15.74964,0.004110741,15.33467,0.009355607,2863060246512807450,22.45289,0.1832445,23.83114,0.2980602,433871261935,15.97091,0.005168,15.93737,0.005358,16.0076,0.006899,16.45735,0.014028,0.1012,0.0998,3221100001241018418,16.3534,0.018,16.91857,0.025,18.376,0.534,15.805,9999,42.5,11.481,36.3,11.23,3.1,10.458,0.2,11.664
0,0.0056,2.32,CSC,8605,1237663784194408683,1237667172923146482,353.2334,0.0339706,0.128812,0.02834,GALAXY,0,0,3.443851E-14,no,9.518888,4.48498,4.305893,4.175654,4.086316,6.117748,4.737391,4.333446,4.42014,3.56232,False,0.1981733,0.1458141,0.1057565,0.08019196,0.0568571,19.45811,0.0509184,18.23846,0.008746236,17.372,0.007038624,16.88068,0.007072119,16.60541,0.02027266,2911825786227918967,20.769,0.03399299,21.04965,0.05342487,433832585993,-99,-99,18.80066,0.065875,-99,-99,-99,-99,0.1299,0.1298,3539100001241019440,17.46292,0.024,17.86715,0.06,17.403,0.182,15.486,9999,36.5,13.831,26.6,13.688,10.6,13.143,3.3,14.112
0,0.0056,2.32,XMM,673002301,1237663784194408683,1237667172923146482,353.2334,0.03395592,0.128812,0.02834,GALAXY,2.240015E-14,0,7.172838E-14,no,9.518888,4.48498,4.305893,4.175654,4.086316,6.117748,4.737391,4.333446,4.42014,3.56232,False,0.1981733,0.1458141,0.1057565,0.08019196,0.0568571,19.45811,0.0509184,18.23846,0.008746236,17.372,0.007038624,16.88068,0.007072119,16.60541,0.02027266,2911825786227918967,20.769,0.03399299,21.04965,0.05342487,433832585993,-99,-99,18.80066,0.065875,-99,-99,-99,-99,0.1299,0.1298,3539100001241019440,17.46292,0.024,17.86715,0.06,17.403,0.182,15.486,9999,36.5,13.831,26.6,13.688,10.6,13.143,3.3,14.112
0,0.006,1.74,CSC,4938,1237663277923303600,1237667173458575522,349.8723,0.5991945,0.118214,0.124902,GALAXY,1.628423E-13,1.331606E-13,3.881243E-13,no,2.305943,2.641654,2.737304,2.845,3.20033,2.928356,3.274212,3.182099,3.364275,3.879814,False,0.2430343,0.1788223,0.1296968,0.0983452,0.06972797,19.41075,0.03155895,18.63961,0.009007517,18.00451,0.007961016,17.60844,0.009015705,17.37339,0.0221131,3784081554682155191,20.69749,0.05332309,20.75104,0.0500138,433828015962,18.1939,0.033557,18.1196,0.040502,17.96051,0.040521,18.55424,0.076205,0.1655,0.1692,3494100001241031197,18.00149,0.037,18.15854,0.079,17.691,0.232,15.374,9999,29.5,13.846,21.5,13.821,8.3,13.924,1.9,13.903
0.018,-99,1.78,XMM,303562201,1237657191446872214,1237666661846482967,10.89954,0.2492646,0.108875,0.02097,GALAXY,8.152004E-14,0,2.352378E-13,no,3.131331,3.967209,3.867713,3.632321,3.945368,2.964413,4.092792,3.766057,3.626603,4.02763,False,0.1034277,0.07610114,0.0551949,0.04185262,0.02967403,18.90146,0.03294364,17.87718,0.006444456,17.13382,0.005690727,16.68926,0.005531539,16.3859,0.01403597,2915097932832181214,19.66823,0.02531807,19.82471,0.03853545,433830734121,19.23538,0.142935,19.07174,0.12796,18.71548,0.136581,17.91181,0.091376,0.0527,0.0529,105100001241023529,16.60461,0.015,16.82121,0.032,16.949,0.17,15.622,0.389,41.3,13.878,33.8,13.852,6.8,6.982,1.4,9.616
0.02,0.0134,2.94,XMM,200480401,1237666406848397527,1237663542101934248,37.83374,-0.9018783,0.286705,0.017455,GALAXY,2.135666E-14,5.434161E-14,7.017828E-14,no,2.230246,3.085506,2.705926,2.868869,2.873064,1.528148,3.816752,3.073065,3.081069,3.195484,False,0.1626837,0.1197011,0.08681723,0.06583088,0.04667491,21.58539,0.2036493,19.9755,0.02529655,18.63054,0.013321,18.09473,0.0127517,17.70737,0.03031756,2417661280240281339,22.90799,0.1998563,23.57105,0.282506,433837941318,20.56272,0.330965,-99,-99,-99,-99,19.96058,0.397503,0.1552,0.1569,378001601241036193,18.14968,0.048,18.60105,0.101,18.293,9999,16.107,9999,32.8,26.768,20.8,26.799,1.8,24.1,0.6,24.124
